EAN,Article Libellé Long,PAHT,PVC,PV Mag,TVA en %,Quantité vendue *,Stock en quantité,File_Index,Date,Month,Year,Year_Month,Buying Cost without Taxes,Buying Cost with Taxes,Revenue,Profit
3046920042567,150G CREA LT CREME BRULEE,2.1500000953674316,2.6500000953674316,2.6500000953674316,0.20000000298023224,6.0,25,0,2024-01-06,1,2024,2024_01,12.9,15.48,15.9,0.41999999999999993
3046920042642,CREA LT MACARON VANILLE,2.119999885559082,2.950000047683716,2.950000047683716,0.20000000298023224,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920042765,LINDT TAB. LINDOR NR 150G,2.2200000286102295,2.6500000953674316,2.6500000953674316,0.20000000298023224,5.0,14,0,2024-01-06,1,2024,2024_01,11.1,13.32,13.25,-0.07000000000000028
3046920042888,150G CREA ROCHER LAIT,2.0799999237060547,2.75,2.75,0.20000000298023224,4.0,15,0,2024-01-06,1,2024,2024_01,8.32,9.98,11.0,1.0199999999999996
3046920042932,150G CREA ROCHER NOIR,2.1500000953674316,2.75,2.75,0.20000000298023224,7.0,20,0,2024-01-06,1,2024,2024_01,15.05,18.06,19.25,1.1900000000000013
3046920042963,LINDT LINDOR LAIT 150G,2.2200000286102295,2.549999952316284,2.549999952316284,0.20000000298023224,4.0,23,0,2024-01-06,1,2024,2024_01,8.88,10.66,10.2,-0.46000000000000085
3046920045407,TAB.CREATION LT CARA 100G,2.1500000953674316,2.5899999141693115,2.5899999141693115,0.20000000298023224,6.0,19,0,2024-01-06,1,2024,2024_01,12.9,15.48,15.54,0.05999999999999872
3046920047302,LINDT CITRON FRAPPE 150G,2.1500000953674316,2.809999942779541,2.809999942779541,0.20000000298023224,1.0,10,0,2024-01-06,1,2024,2024_01,2.15,2.58,2.81,0.22999999999999998
3046920047364,CREATION MENTHE FRAP 150G,2.1500000953674316,3.549999952316284,3.549999952316284,0.20000000298023224,3.0,18,0,2024-01-06,1,2024,2024_01,6.45,7.74,10.65,2.91
3046920047708,150G CREA LT PRAL FEUIL,2.1500000953674316,2.690000057220459,2.690000057220459,0.20000000298023224,4.0,4,0,2024-01-06,1,2024,2024_01,8.6,10.32,10.76,0.4399999999999995
