 Code Secteur ; Libellé Secteur ; Code Rayon ; Libellé Rayon ; Code Groupe de Famille  ; Libellé  Groupe de Famille  ; Code Famille  ; Libellé  Famille  ; Code Sous-Famille  ; Libellé  Sous-Famille  ; Code Unité de Besoin  ; Code UG  ; EAN ; Article Libellé Court ; Article Libellé Long ; Libellé Marque ; Libellé Fournisseur ; PAHT ; PV Mag ; PV Mag HT ; TVA en % ; Quantité vendue * ; Type Qté ; Montant achat HT * ; Montant vente TTC * ; Marge en valeur ; Marge en % ; Stock en quantité ;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;1;2993882;7,61304E+12; PTITE RECETTE BASQ ; PTITE RECETTE BASQ.2X200G ; NESTLE ; NESTLE FRANCE ;2,57;2,59;2,45;0,055;4; UVC ;10,28;8,76;-1,976682;-0,213885;8;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;1;2993873;1;  ;  ;  ;  ;  ;  ;  ;  ;8;  ;20,56;17,52;-3,953365;-0,213885;7;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;1;2993873;7,61304E+12; PTITE RECETTE BOLO ; PTITE RECETTE BOLO 2X200G ; NESTLE ; NESTLE FRANCE ;2,57;2,39;2,27;0,055;8; UVC ;20,56;17,52;-3,953365;-0,213885;7;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;1;2993884;1;  ;  ;  ;  ;  ;  ;  ;  ;8;  ;20,56;17,52;-3,953365;-0,213885;5;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;1;2993884;7,61304E+12; PTITE RECET BLANQ ; PTITE RECET.BLANQ.2X200G ; NESTLE ; NESTLE FRANCE ;2,57;2,39;2,27;0,055;8; UVC ;20,56;17,52;-3,953365;-0,213885;5;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;1;1028053;1;  ;  ;  ;  ;  ;  ;  ;  ;6;  ;15,42;13,14;-2,965024;-0,213885;15;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;1;1028053;7,61304E+12; PTITE RECET HACHIS ; PTITE RECETTE HACHIS PARM ; NESTLE ; NESTLE FRANCE ;2,57;2,39;2,27;0,055;6; UVC ;15,42;13,14;-2,965024;-0,213885;15;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;1;1102797;1;  ;  ;  ;  ;  ;  ;  ;  ;11;  ;28,49;24,09;-5,655877;-0,2225413;14;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;1;1102797;7,61304E+12; 2X200G PTITE REC P ; 2X200G PTITE REC POT FEU ; NESTLE ; NESTLE FRANCE ;2,59;2,39;2,27;0,055;11; UVC ;28,49;24,09;-5,655877;-0,2225413;14;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;1;3415929;1;  ;  ;  ;  ;  ;  ;  ;  ;9;  ;23,49;19,71;-4,807536;-0,2311977;10;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;1;3415929;7,61304E+12; PTITE RECETTE LEG ; 2X200G LEG. BOEUF PTIT RE ; NESTLE ; NESTLE FRANCE ;2,61;2,65;2,51;0,055;9; UVC ;23,49;19,71;-4,807536;-0,2311977;10;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;1;3589521;1;  ;  ;  ;  ;  ;  ;  ;  ;7;  ;17,99;15,33;-3,459194;-0,213885;10;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;1;3589521;7,61304E+12; 2X200G PTE RECETTE ; 2X200G PTE RECETTE TAJINE ; NESTLE ; NESTLE FRANCE ;2,57;2,65;2,51;0,055;7; UVC ;17,99;15,33;-3,459194;-0,213885;10;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;2;1164579;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;3,17;3,15;-0,184218;-0,05543309;10;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;2;1164579;3,04109E+12; 2X200G COURGE PATE ; 2X200G COURGE PATES MERLU ; BLEDINA ; BLEDINA ;3,17;3,15;2,99;0,055;1; UVC ;3,17;3,15;-0,184218;-0,05543309;10;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;2;1055917;1;  ;  ;  ;  ;  ;  ;  ;  ;3;  ;6,72;7,17;0,07620853;0,0100747;12;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;2;1055917;3,04109E+12; 2X200G POT LEG PDT ; 2X200G POT LEG PDT COLIN ; BLEDINA ; BLEDINA ;2,24;2,39;2,27;0,055;3; UVC ;6,72;7,17;0,07620853;0,0100747;12;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;2;3407076;1;  ;  ;  ;  ;  ;  ;  ;  ;5;  ;8,6;12,09;2,859716;0,2242044;14;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;2;3407076;3,56007E+12; 2X200G BLCAR/PDT/S ; 2X200G BLCAR/PDT/SAU BIO ; CRF BB BIO ; MATERNA OPERATION ;1,72;2,69;2,55;0,055;5; UVC ;8,6;12,09;2,859716;0,2242044;14;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;2;3415928;1;  ;  ;  ;  ;  ;  ;  ;  ;9;  ;23,31;19,71;-4,627535;-0,2225413;5;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;2;3415928;7,61304E+12; PTITE RECETTE PAR ; 2X200G PAR.CABILLAU PT RE ; NESTLE ; NESTLE FRANCE ;2,59;2,75;2,61;0,055;9; UVC ;23,31;19,71;-4,627535;-0,2225413;5;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;10;1254767;1;  ;  ;  ;  ;  ;  ;  ;  ;4;  ;11,88;11,96;-0,5435071;-0,04307463;11;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;10;1254767;3,04109E+12; 2X200G CARROTTE RI ; 2X200G CARROTTE RIZ JAMBO ; BLEDINA ; BLEDINA ;2,97;2,99;2,83;0,055;4; UVC ;11,88;11,96;-0,5435071;-0,04307463;11;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;10;4010160;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;2,97;3,09;-0,04109005;-0,0126045;8;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;10;4010160;3,04109E+12; BOL 2X200G PARM PT ; BOL 2X200G PARM PT LEG RA ; BLEDINA ; BLEDINA ;2,97;3,09;2,93;0,055;1; UVC ;2,97;3,09;-0,04109005;-0,0126045;8;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;10;4190071;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;2,43;3,39;0,7832701;0,2190077;19;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;10;4190071;3,77001E+12; 190G CAROTTES VEAU ; 190G CAROTTES VEAU 9M HAP ; HAPPYLAL ; 1001 FRANCE ;2,43;3,09;2,93;0,055;1; UVC ;2,43;3,39;0,7832701;0,2190077;19;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;10;1007788;1;  ;  ;  ;  ;  ;  ;  ;  ;3;  ;8,37;7,05;-1,687536;-0,2268879;7;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;10;1007788;7,61303E+12; 2X200G NAT SLCN CP ; 2X200G NAT SLCN CAR PT CA ; NESTLE ; NESTLE FRANCE ;2,79;2,35;2,23;0,055;3; UVC ;8,37;7,05;-1,687536;-0,2268879;7;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;11;1580621;1;  ;  ;  ;  ;  ;  ;  ;  ;2;  ;6,12;5,58;-0,8309005;-0,141144;11;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;11;1580621;3,04109E+12; 2X200G POIREAUX RI ; 2X200G POIREAUX RIZ COLIN ; BLEDINA ; BLEDINA ;3,06;2,79;2,64;0,055;2; UVC ;6,12;5,58;-0,8309005;-0,141144;11;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;20;1597349;1;  ;  ;  ;  ;  ;  ;  ;  ;2;  ;4,64;6,5;1,521137;0,221821;8;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;20;1597349;3,77E+12; 190G COURG BUTTER ; 190G COURG BUTTER AGNEA 6 ; GOOD GOUT ; HEALTH & HAPPINESS ;2,32;3,25;3,08;0,055;2; UVC ;4,64;6,5;1,521137;0,221821;8;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;20;4146064;1;  ;  ;  ;  ;  ;  ;  ;  ;2;  ;6,82;6,78;-0,3934597;-0,05500702;13;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;20;4146064;4,0623E+12; 2X190G JARD LEG ; 2X190G POTS JARD LEG SAU ; HIPP BIO ; HIPP FRANCE ;3,41;3,39;3,21;0,055;2; UVC ;6,82;6,78;-0,3934597;-0,05500702;13;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;3257259;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;2,53;3,25;0,5505687;0,1605742;10;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;3257259;3,04109E+12; BLEDINA BIO LV TO ; BIO LV TO RZ VE 200GX2 ; BLEDINA ; BLEDINA ;2,53;3,25;3,08;0,055;1; UVC ;2,53;3,25;0,5505687;0,1605742;10;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;2835932;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;2,81;3,49;0,4980569;0,1352699;12;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;2835932;3,28813E+12; 2X200G POT CAR/COU ; 2X200G POT CAR/COUR/PL/RI ; BABYBIO ; VITAGERMINE ;2,81;3,49;3,31;0,055;1; UVC ;2,81;3,49;0,4980569;0,1352699;12;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;1539679;1;  ;  ;  ;  ;  ;  ;  ;  ;2;  ;5,62;5,98;0,04824645;0,007647363;8;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;1539679;3,28813E+12; 2X200G POT LEG POU ; 2X200G POT LEG POULET 8M ; BABYBIO ; VITAGERMINE ;2,81;2,99;2,83;0,055;2; UVC ;5,62;5,98;0,04824645;0,007647363;8;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;1539088;1;  ;  ;  ;  ;  ;  ;  ;  ;3;  ;8,07;8,97;0,4323697;0,04568886;10;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;1539088;3,28813E+12; 2X200G POT LEG CAB ; 2X200G POT LEG CABILL. 8M ; BABYNAT ; VITAGERMINE ;2,69;2,99;2,83;0,055;3; UVC ;8,07;8,97;0,4323697;0,04568886;10;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;3407079;1;  ;  ;  ;  ;  ;  ;  ;  ;4;  ;7,72;9,14;0,9435071;0,09784678;7;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;3407079;3,56007E+12; 2X200G CHF/PDTBF 8 ; 2X200G CHF/PDTBF 8M CRF B ; CRF BB BIO ; MATERNA OPERATION ;1,93;2,69;2,55;0,055;4; UVC ;7,72;9,14;0,9435071;0,09784678;7;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;3560616;1;  ;  ;  ;  ;  ;  ;  ;  ;3;  ;5,85;6,83;0,6239337;0,0865895;15;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;3560616;3,56007E+12; 2X200G CAR BF BOUL ; 2X200G CAR BF BOUL  CRF B ; CRF BB BIO ; MATERNA OPERATION ;1,95;2,69;2,55;0,055;3; UVC ;5,85;6,83;0,6239337;0,0865895;15;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;3549754;1;  ;  ;  ;  ;  ;  ;  ;  ;2;  ;3,84;4,57;0,4917535;0,101995;15;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;3549754;3,56007E+12; 2X200G CGTT  PDT B ; 2X200G CGTT  PDT BF CRF B ; CRF BB BIO ; MATERNA OPERATION ;1,92;2,69;2,55;0,055;2; UVC ;3,84;4,57;0,4917535;0,101995;15;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;3549756;1;  ;  ;  ;  ;  ;  ;  ;  ;3;  ;5,94;6,36;0,08843602;0,01318013;11;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;3549756;3,56007E+12; 2X200G CAR.PAN.SAU ; 2X200G CAR.PAN.SAUM CRF B ; CRF BB BIO ; MATERNA OPERATION ;1,98;2,65;2,51;0,055;3; UVC ;5,94;6,36;0,08843602;0,01318013;11;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;3560617;1;  ;  ;  ;  ;  ;  ;  ;  ;2;  ;3,64;4,4;0,5306161;0,1143076;19;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;3560617;3,56007E+12; 2X200G GUMES RIZ S ; 2X200G GUMES RIZ SAUMON B ; CRF BB BIO ; MATERNA OPERATION ;1,82;2,59;2,45;0,055;2; UVC ;3,64;4,4;0,5306161;0,1143076;19;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;3549753;1;  ;  ;  ;  ;  ;  ;  ;  ;7;  ;13,58;14,25;-0,072891;-0,00484849;9;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;2; POT LEGUM-VIAND OU POISSON ;21;3549753;3,56007E+12; 2X200G BOL LEGU.PL ; 2X200G BOL LEGU.PLT FER B ; CRF BB BIO ; MATERNA OPERATION ;1,94;2,59;2,45;0,055;7; UVC ;13,58;14,25;-0,072891;-0,00484849;9;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;  ;33;33;  ;  ;  ;  ;  ;  ;  ;  ;83;  ;240,16;237,43;-15,10787;-0,02460813;317;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;1166257;1;  ;  ;  ;  ;  ;  ;  ;  ;2;  ;5,9;5,38;-0,8004739;-0,1410303;18;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;1166257;3,04109E+12; 2X200G PETITS LEG. ; 2X200G PETITS LEG. SAUMON ; BLEDINA ; BLEDINA ;2,95;2,69;2,55;0,055;2; UVC ;5,9;5,38;-0,8004739;-0,1410303;18;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;1624429;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;2,07;2,19;0,005829384;0,002523051;8;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;1624429;3,04109E+12; BCHEF 250G RIS COU ; RISO COURG SAUM 15M 250G ; BLEDINA ; BLEDINA ;2,07;2,19;2,08;0,055;1; UVC ;2,07;2,19;0,005829384;0,002523051;8;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;49954;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;1,99;1,89;-0,1985308;-0,09956659;11;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;49954;3,04109E+12; BCHEF 230G EPIN SA ; 230G EPINARDS SAUMON 12M ; BLEDINA ; BLEDINA ;1,99;1,89;1,79;0,055;1; UVC ;1,99;1,89;-0,1985308;-0,09956659;11;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;1491168;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;2,07;2,09;-0,08895735;-0,04034438;8;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;1491168;3,04109E+12; BCHEF 250G LEG CAB ; MJT LEG CABILL 15M B 250G ; BLEDINA ; BLEDINA ;2,07;2,09;1,98;0,055;1; UVC ;2,07;2,09;-0,08895735;-0,04034438;8;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;2525467;1;  ;  ;  ;  ;  ;  ;  ;  ;3;  ;6,21;6,57;0,01748815;0,002523051;7;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;2525467;3,04109E+12; BCHEF 250G LEG PAT ; LEG PATES CAB 24M BC 250G ; BLEDINA ; BLEDINA ;2,07;2,19;2,08;0,055;3; UVC ;6,21;6,57;0,01748815;0,002523051;7;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;3453017;1;  ;  ;  ;  ;  ;  ;  ;  ;2;  ;8,26;9,18;0,4414218;0,04557835;6;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;3453017;3,04109E+12; X2 BCHEF PATES POT ; BCHEF PATES POTIMA CABI ; BLEDINA ; BLEDINA ;4,13;4,59;4,35;0,055;2; UVC ;8,26;9,18;0,4414218;0,04557835;6;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;3452273;1;  ;  ;  ;  ;  ;  ;  ;  ;2;  ;16,44;15,18;-2,051374;-0,1280916;9;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;3452273;3,04109E+12; 4X230G EP SAU/RAT. ; 4X230G EP SAU/RAT. POISS ; BLEDINA ; BLEDINA ;8,22;7,59;7,19;0,055;2; UVC ;16,44;15,18;-2,051374;-0,1280916;9;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;3656714;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;2,07;2,25;0,06270142;0,0264145;6;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;3656714;3,04109E+12; BLEDICHEF COL.POIS ; BLEDICHEF COLOMBO POIS. ; BLEDINA ; BLEDINA ;2,07;2,25;2,13;0,055;1; UVC ;2,07;2,25;0,06270142;0,0264145;6;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;2758635;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;2,25;2,45;0,07227488;0,02796204;10;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;2758635;3,04109E+12; 2X200G POT EPI SEM ; 2X200G POT EPI SEM MERLU ; BLEDINA ; BLEDINA ;2,25;2,45;2,32;0,055;1; UVC ;2,25;2,45;0,07227488;0,02796204;10;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;2758638;1;  ;  ;  ;  ;  ;  ;  ;  ;2;  ;17,92;16,9;-1,901043;-0,1066234;3;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;2758638;3,04109E+12; 8X200G LEG PLT/RAT ; 8X200G LEG PLT/RATA/P.DCE ; BLEDINA ; BLEDINA ;8,96;8,45;8,01;0,055;2; UVC ;17,92;16,9;-1,901043;-0,1066234;3;  ;  ;
1; PGC ;14; EPICERIE ;144; ALIMENTS INFANTILES ;1441; REPAS LEGUME,LEGUM/VIANDE ;3; ASSIETTE L{G VIANDE OU POISSON ;1;3844714;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;1,99;2,45;0,3322749;0,128552;9;  ;  ;
