 Code Secteur ; Libellé Secteur ; Code Rayon ; Libellé Rayon ; Code Groupe de Famille  ; Libellé  Groupe de Famille  ; Code Famille  ; Libellé  Famille  ; Code Sous-Famille  ; Libellé  Sous-Famille  ; Code Unité de Besoin  ; Code UG  ; EAN ; Article Libellé Court ; Article Libellé Long ; Libellé Marque ; Libellé Fournisseur ; PAHT ; PV Mag ; PV Mag HT ; TVA en % ; Quantité vendue * ; Type Qté ; Montant achat HT * ; Montant vente TTC * ; Marge en valeur ; Marge en % ; Stock en quantité ;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;5;1197060;3,56007E+12; 4/4 DEMI ABRICO SI ; 4/4 DEMI ABRICO SIR LEG C ; CRF CLASS ; DEL MONTE FRANCE SAS ;1,49;2,29;2,17;0,055;11; UVC ;16,39;29,59;11,65739;0,3734255;9;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;7;1181777;1;  ;  ;  ;  ;  ;  ;  ;  ;9;  ;7,83;12,15;3,686588;0,2876046;13;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;7;1181777;3,24541E+12; 1/2 BOITE POIRES C ; 1/2 BOITE POIRES CRF CLAS ; CRF CLASS ; SOLARYS ;0,87;1,35;1,28;0,055;9; UVC ;7,83;12,15;3,686588;0,2876046;13;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;8;1018152;1;  ;  ;  ;  ;  ;  ;  ;  ;2;  ;6,46;7,78;0,9144076;0,1114058;14;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;8;1018152;3,08092E+12; 850G POIRE WILL.SI ; 850G POIRE WILL.SIROP ST ; ST MAMET ; SAINT MAMET DISTRIBU ;3,23;3,89;3,69;0,055;2; UVC ;6,46;7,78;0,9144076;0,1114058;14;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;8;1181787;1;  ;  ;  ;  ;  ;  ;  ;  ;17;  ;26,86;35,53;6,817725;0,1818829;8;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;8;1181787;3,24541E+12; 4/4 BOITE POIRES C ; 4/4 BOITE POIRES CRF CLAS ; CRF CLASS ; SOLARYS ;1,58;2,09;1,98;0,055;17; UVC ;26,86;35,53;6,817725;0,1818829;8;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;8;4211928;1;  ;  ;  ;  ;  ;  ;  ;  ;10;  ;13,7;17,6;2,982465;0,1606239;16;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;8;4211928;8,72087E+12; 4/4 1/2 POIRE SIRO ; 4/4 1/2 POIRE SIROP LEGER ; NO NAME ; DEL MONTE FRANCE SAS ;1,37;1,76;1,67;0,055;10; UVC ;13,7;17,6;2,982465;0,1606239;16;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;10;3470258;1;  ;  ;  ;  ;  ;  ;  ;  ;10;  ;12,1;23,9;10,55403;0,4185698;15;  ;  ;
