 Code Secteur ; Libellé Secteur ; Code Rayon ; Libellé Rayon ; Code Groupe de Famille  ; Libellé  Groupe de Famille  ; Code Famille  ; Libellé  Famille  ; Code Sous-Famille  ; Libellé  Sous-Famille  ; Code Unité de Besoin  ; Code UG  ; EAN ; Article Libellé Court ; Article Libellé Long ; Libellé Marque ; Libellé Fournisseur ; PAHT ; PV Mag ; PV Mag HT ; TVA en % ; Quantité vendue * ; Type Qté ; Montant achat HT * ; Montant vente TTC * ; Marge en valeur ; Marge en % ; Stock en quantité ;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;4;1031530;1;  ;  ;  ;  ;  ;  ;  ;  ;5;  ;15,25;17,75;1,574645;0,08408755;20;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;4;1031530;3,55172E+12; 1L LIMONADE ARTISA ; LORINA LIM. ARTISANALE 1L ; LORINA ; GEYER FRERES ;3,05;3,29;3,12;0,055;5; UVC ;15,25;17,75;1,574645;0,08408755;20;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;4;2255636;1;  ;  ;  ;  ;  ;  ;  ;  ;5;  ;5,95;10,45;3,955213;0,3587576;5;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;4;2255636;3,56007E+12; 75CL BLE LIMONADE ; 75CL BLE LIMONADE CRF ORI ; CRF CLASS ; GEYER FRERES ;1,19;2,09;1,98;0,055;5; UVC ;5,95;10,45;3,955213;0,3587576;5;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;10;22284;1;  ;  ;  ;  ;  ;  ;  ;  ;9;  ;15,21;17,91;1,766303;0,09347969;21;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;10;22284;3,12448E+12; CANANDA DRY TONIC ; CANADA DRY TONIC BLE 1.5L ; CANADA DRY ; ORANGINA SCHWEPPES ;1,69;1,99;1,89;0,055;9; UVC ;15,21;17,91;1,766303;0,09347969;21;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;10;1322879;1;  ;  ;  ;  ;  ;  ;  ;  ;5;  ;5,95;7,2;0,8746446;0,1151454;10;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;10;1322879;3,55172E+12; PET 1.25 LORINA DO ; PET 1.25 LORINA DOUBLE ZE ; LORINA ; GEYER FRERES ;1,19;1,44;1,36;0,055;5; UVC ;5,95;7,2;0,8746446;0,1151454;10;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;10;1243206;1;  ;  ;  ;  ;  ;  ;  ;  ;7;  ;3,57;5,95;2,06981;0,329732;2;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;10;1243206;3,56007E+12; 1.5L PET LEMON LIM ; 1.5L PET LEMON LIME CRF C ; CRF CLASS ; SOURCES ALMA FACTURA ;0,51;0,85;0,81;0,055;7; UVC ;3,57;5,95;2,06981;0,329732;2;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;12;2121319;1;  ;  ;  ;  ;  ;  ;  ;  ;2;  ;0;1,44;1,364929;0,8984524;0;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;12;2121319;3,50211E+12; BTE 33CL ZERO 7UP ; 7UP BTE ZERO 33CL ; SEVEN UP ;  ;  ;0,72;0,68;0,055;2; UVC ;  ;1,44;1,364929;0,8984524;0;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;12;3718741;1;  ;  ;  ;  ;  ;  ;  ;  ;2;  ;5,86;6,78;0,5665403;0,07920428;20;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;12;3718741;3,55172E+12; CAN 4*33CL LORINA ; CAN 4*33CL LORINA LIMONAD ; LORINA ; GEYER FRERES ;2,93;3,39;3,21;0,055;2; UVC ;5,86;6,78;0,5665403;0,07920428;5;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;12;1009066;1;  ;  ;  ;  ;  ;  ;  ;  ;9;  ;26,82;29,61;1,246351;0,03989784;672;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;12;1009066;5,449E+12; BTE 6X33CL SPRITE ; BTE 6X33CL SPRITE ; SPRITE ; COCA COLA EUROPACIFI ;2,98;3,29;3,12;0,055;9; UVC ;26,82;29,61;1,246351;0,03989784;112;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;99;1128434;1;  ;  ;  ;  ;  ;  ;  ;  ;6;  ;6,12;17,34;10,31602;0,563911;120;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;99;1128434;3,24541E+12; PET 6X33CL LIMONAD ; PET 6X33CL LIMONADE ZERO ; CRF CLASS ; LAITERIE SAINT DENIS ;1,02;2,89;2,74;0,055;6; UVC ;6,12;17,34;10,31602;0,563911;20;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;99;3560254;1;  ;  ;  ;  ;  ;  ;  ;  ;2;  ;9,78;10,68;0,3432227;0,03046157;48;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;99;3560254;3,55172E+12; LORINA CLEAR LEMON ; LORINA CLEAR LEMONADE 6X2 ; LORINA ; GEYER FRERES ;4,89;5,34;5,06;0,055;2; UVC ;9,78;10,68;0,3432227;0,03046157;8;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;99;1128425;1;  ;  ;  ;  ;  ;  ;  ;  ;18;  ;23,22;25,92;1,34872;0,04932129;123;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;99;1128425;3,55172E+12; PET 1,25L LORINA L ; PET 1,25L LORINA LIMONADE ; LORINA ; GEYER FRERES ;1,29;1,44;1,36;0,055;18; UVC ;23,22;25,92;1,34872;0,04932129;123;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;99;4218795;1;  ;  ;  ;  ;  ;  ;  ;  ;5;  ;16,05;14,95;-1,879384;-0,1191576;64;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;99;4218795;3,55172E+12; X4 LORINA LIMONADE ; LORINA LIMONADE PACK X4 ; LORINA ; GEYER FRERES ;3,21;2,99;2,83;0,055;5; UVC ;16,05;14,95;-1,879384;-0,1191576;16;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;99;1593609;1;  ;  ;  ;  ;  ;  ;  ;  ;7;  ;4,97;6,93;1,59872;0,2186688;5;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;99;1593609;3,56007E+12; PET 1L LIMONADE CR ; PET 1L LIMONADE CRF BIO ; CARREF BIO ; LAITERIE SAINT DENIS ;0,71;0,99;0,94;0,055;7; UVC ;4,97;6,93;1,59872;0,2186688;5;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;99;4233446;1;  ;  ;  ;  ;  ;  ;  ;  ;6;  ;10,26;14,94;3,901137;0,2475074;24;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;99;4233446;3,56007E+12; BTE 6X33CL LIMONAD ; BTE 6X33CL LIMONADE CRF C ; CRF CLASS ; REFRESCO FRANCE ;1,71;2,49;2,36;0,055;6; UVC ;10,26;14,94;3,901137;0,2475074;4;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;99;3371469;1;  ;  ;  ;  ;  ;  ;  ;  ;19;  ;24,51;21,85;-3,799099;-0,1648074;240;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;0; LIMONADES ET LIMES ;99;3371469;5,449E+12; 1.25L SPRITE OR ; PET 1.25L SPRITE ORIGINAL ; SPRITE ; COCA COLA EUROPACIFI ;1,29;1,15;1,09;0,055;19; UVC ;24,51;21,85;-3,799099;-0,1648074;240;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;  ;31;31;  ;  ;  ;  ;  ;  ;  ;  ;625;  ;1242,11;1216,88;-88,66924;0,0504564;5437;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;1009107;1;  ;  ;  ;  ;  ;  ;  ;  ;28;  ;49,56;48,72;-3,379905;-0,06575742;3;  ;  
