 Code Secteur ; Libellé Secteur ; Code Rayon ; Libellé Rayon ; Code Groupe de Famille  ; Libellé  Groupe de Famille  ; Code Famille  ; Libellé  Famille  ; Code Sous-Famille  ; Libellé  Sous-Famille  ; Code Unité de Besoin  ; Code UG  ; EAN ; Article Libellé Court ; Article Libellé Long ; Libellé Marque ; Libellé Fournisseur ; PAHT ; PV Mag ; PV Mag HT ; TVA en % ; Quantité vendue * ; Type Qté ; Montant achat HT * ; Montant vente TTC * ; Marge en valeur ; Marge en % ; Stock en quantité ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000010251 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 4,570 ;  ; 98,255 ; 187,56 ; 79,52699 ; 0,4019036 ; 0,600 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000010251 ; 2602113000000 ; CHUTE DE SAUMON FU ; CHUTE DE SAUMON FUME           ;  ; FUMAGE DU SICHON ; 21,5 ; 41,15 ; 39 ; 0,055 ; 4,570 ; KG ; 98,255 ; 187,56 ; 79,52699 ; 0,4019036 ; 0,600 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000013195 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 1,790 ;  ; 46,719 ; 88,71 ; 37,36631 ; 0,3992594 ; 1,922 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000013195 ; 2602114000000 ; LANIERES SAUMON FU ; LANIERES SAUMON FUME ARTISANAL ;  ; FUMAGE DU SICHON ; 26,1 ; 49,7 ; 47,11 ; 0,055 ; 1,790 ; KG ; 46,719 ; 88,71 ; 37,36631 ; 0,3992594 ; 1,922 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000006307 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 0,320 ;  ; 13,856 ; 25,32 ; 10,144 ; 0,3797459 ; 0,280 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000006307 ; 2602202000000 ; 2TR SAUMON ANETH   ; 2TR SAUMON ANETH               ;  ; FUMAGE DU SICHON ; 43,3 ; 79,1 ; 74,98 ; 0,055 ; 0,320 ; KG ; 13,856 ; 25,32 ; 10,144 ; 0,3797459 ; 0,280 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000008151 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 0,170 ;  ; 7,361 ; 13,6 ; 5,529995 ; 0,3854192 ; 0,820 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000008151 ; 2602203000000 ; 2TR SAUMON NOISETT ; 2TR SAUMON NOISETTE            ;  ; FUMAGE DU SICHON ; 43,3 ; 79,1 ; 74,98 ; 0,055 ; 0,170 ; KG ; 7,361 ; 13,6 ; 5,529995 ; 0,3854192 ; 0,820 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000006008 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 0,630 ;  ; 33,768 ; 62,12 ; 25,11352 ; 0,3831984 ; 0,500 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000006008 ; 2602842000000 ; 2 TRANCHES SAUMON  ; 2 TRANCHES SAUMON BIO          ;  ; FUMAGE DU SICHON ; 53,6 ; 98 ; 92,89 ; 0,055 ; 0,630 ; KG ; 33,768 ; 62,12 ; 25,11352 ; 0,3831984 ; 0,500 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000017773 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 0,600 ;  ; 28,02 ; 51,55 ; 20,84256 ; 0,3832392 ; 0,432 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000017773 ; 2602890000000 ; TRUITE BIO         ; TRUITE BIO  FUME       5/6 T        ;  ; FUMAGE DU SICHON ; 46,7 ; 86,5 ; 81,99 ; 0,055 ; 0,600 ; KG ; 28,02 ; 51,55 ; 20,84256 ; 0,3832392 ; 0,432 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000008306 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 0,410 ;  ; 17,753 ; 32,12 ; 12,6925 ; 0,374558 ; 0,315 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000008306 ; 2602892000000 ; 2TR SAUMON FUME AR ; 2TR SAUMON FUME ARTISANAL      ;  ; FUMAGE DU SICHON ; 43,3 ; 79,1 ; 74,98 ; 0,055 ; 0,410 ; KG ; 17,753 ; 32,12 ; 12,6925 ; 0,374558 ; 0,315 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000003872 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 0,950 ;  ; 41,135 ; 75 ; 29,95505 ; 0,3785788 ; 0,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000003872 ; 2602894000000 ; 4TR SAUMON FUME AR ; 4TR SAUMON FUME ARTISANAL      ;  ; FUMAGE DU SICHON ; 43,3 ; 79,1 ; 74,98 ; 0,055 ; 0,950 ; KG ; 41,135 ; 75 ; 29,95505 ; 0,3785788 ; 0,000 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000007030 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 0,490 ;  ; 20,286 ; 36,97 ; 14,75665 ; 0,3783433 ; 1,608 ;  ;  
 01 ; PGC ; 25 ; P.L.S. ; 256 ; PRODUITS DE LA MER ; 2560 ; SAURISSERIE ; 000 ; SAUMON FUME ; 099 ; 99000000007030 ; 2602897000000 ; LS 10 TRANCHES SAU ; LS 10 TRANCHES SAUMON ARTISANA ;  ; FUMAGE DU SICHON ; 41,4 ; 75,45 ; 71,52 ; 0,055 ; 0,490 ; KG ; 20,286 ; 36,97 ; 14,75665 ; 0,3783433 ; 1,608 ;  ;  
