 Code Secteur ; Libellé Secteur ; Code Rayon ; Libellé Rayon ; Code Groupe de Famille  ; Libellé  Groupe de Famille  ; Code Famille  ; Libellé  Famille  ; Code Sous-Famille  ; Libellé  Sous-Famille  ; Code Unité de Besoin  ; Code UG  ; EAN ; Article Libellé Court ; Article Libellé Long ; Libellé Marque ; Libellé Fournisseur ; PAHT ; PV Mag ; PV Mag HT ; TVA en % ; Quantité vendue * ; Type Qté ; Montant achat HT * ; Montant vente TTC * ; Marge en valeur ; Marge en % ; Stock en quantité ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 006 ; 0000004109613 ; 3560071483852 ; 1/2 POIS TRES FINS ; 1/2 POIS TRES FINS CRF CL ; CRF CLASS ; BONDUELLE EUROPE ; 0,66 ; 0,95 ; 0,9 ; 0,055 ; 12,000 ; UVC ; 7,92 ; 11,4 ; 2,885687 ; 0,2399341 ; 25,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 007 ; 0000002899124 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 8,000 ;  ; 8,32 ; 9,68 ; 0,8553554 ; 0,08375656 ; 29,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 007 ; 0000002899124 ; 3560070859429 ; 4/4 PT POIS TRES F ; 4/4 PT POIS TRES FIN SIMP ; SIMPL ; BONDUELLE EUROPE ; 1,04 ; 1,21 ; 1,15 ; 0,055 ; 8,000 ; UVC ; 8,32 ; 9,68 ; 0,8553554 ; 0,08375656 ; 29,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 008 ; 0000000017452 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 23,000 ;  ; 36,8 ; 31,97 ; -6,496683 ; -0,1926179 ; 34,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 008 ; 0000000017452 ; 3083680482035 ; 1/4 P.POIS CASSEGR ; CASSEGRAIN P.POIS 1/4 ; CASSEGRAIN ; BONDUELLE EUROPE ; 1,6 ; 1,39 ; 1,32 ; 0,055 ; 23,000 ; UVC ; 36,8 ; 31,97 ; -6,496683 ; -0,1926179 ; 34,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 009 ; 0000001164581 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 1,000 ;  ; 3,95 ; 3,25 ; -0,8694313 ; -0,2535709 ; 18,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 009 ; 0000001164581 ; 3083680703703 ; 375G GOURM POIS CG ; 375G GOURM. POIS CASSEGRA ; CASSEGRAIN ; BONDUELLE EUROPE ; 3,95 ; 3,25 ; 3,08 ; 0,055 ; 1,000 ; UVC ; 3,95 ; 3,25 ; -0,8694313 ; -0,2535709 ; 18,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 009 ; 0000000023916 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 11,000 ;  ; 24,64 ; 21,89 ; -3,891185 ; -0,1684937 ; 9,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 009 ; 0000000023916 ; 3083681094282 ; PETITS POIS 280G ; PETITS POIS SELECTION280G ; CASSEGRAIN ; BONDUELLE EUROPE ; 2,24 ; 1,99 ; 1,89 ; 0,055 ; 11,000 ; UVC ; 24,64 ; 21,89 ; -3,891185 ; -0,1684937 ; 9,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 010 ; 0000001112159 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 8,000 ;  ; 25,84 ; 23,6 ; -3,470332 ; -0,1393819 ; 14,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 010 ; 0000001112159 ; 3083680085311 ; P.POIS CASSEGRAIN ; CASSEGRAIN PPOIS PRINT4/4 ; CASSEGRAIN ; BONDUELLE EUROPE ; 3,23 ; 2,95 ; 2,8 ; 0,055 ; 8,000 ; UVC ; 25,84 ; 23,6 ; -3,470332 ; -0,1393819 ; 14,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 011 ; 0000001724259 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 2,000 ;  ; 3,5 ; 5,58 ; 1,7891 ; 0,303912 ; 10,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 011 ; 0000001724259 ; 3560071132903 ; 72CL PT.POIS EXTRA ; 72CL PT.POIS EXTRA FIN BI ; CARREF BIO ; D AUCY FRANCE ; 1,75 ; 2,79 ; 2,64 ; 0,055 ; 2,000 ; UVC ; 3,5 ; 5,58 ; 1,7891 ; 0,303912 ; 10,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 099 ; 0000001010411 ; 2 ;  ;  ;  ;  ;  ;  ;  ;  ; 8,000 ;  ; 24 ; 25,84 ; 0,492891 ; 0,04257502 ; 121,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 099 ; 0000001010411 ; 3083681128789 ; 4/4 PP SS AROME AJ ; 4/4 PP SS AROME AJOUTE ; BONDUELLE ; BONDUELLE EUROPE ; 1,84 ; 2,25 ; 2,13 ; 0,055 ; 4,000 ; UVC ; 7,36 ; 9 ; 1,170806 ; 0,1233076 ; 11,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 099 ; 0000001010411 ; 3083681128925 ; 2X4/4 P.POIS BONDU ; 2X4/4 P.POIS SS AR AJOUTE ; BONDUELLE ; BONDUELLE EUROPE ; 4,16 ; 3,79 ; 3,59 ; 0,055 ; 4,000 ; UVC ; 16,64 ; 16,84 ; -0,6779147 ; -0,03815755 ; 55,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 099 ; 0000003930558 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 5,000 ;  ; 4,4 ; 6,75 ; 1,998104 ; 0,2805834 ; 3,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 099 ; 0000003930558 ; 3560071412517 ; 1/2 PT POIS CARO V ; 1/2 PT POIS CARO VAP BO C ; CRF CLASS ; BONDUELLE EUROPE ; 0,88 ; 1,35 ; 1,28 ; 0,055 ; 5,000 ; UVC ; 4,4 ; 6,75 ; 1,998104 ; 0,2805834 ; 3,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 099 ; 0000003930557 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 1,000 ;  ; 0,94 ; 1,49 ; 0,4723223 ; 0,300469 ; 28,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 000 ; PETITS POIS ; 099 ; 0000003930557 ; 3560071412579 ; 1/2 PETIT POIS VAP ; 1/2 PETIT POIS VAP BO CRF ; CRF CLASS ; BONDUELLE EUROPE ; 0,94 ; 1,49 ; 1,41 ; 0,055 ; 1,000 ; UVC ; 0,94 ; 1,49 ; 0,4723223 ; 0,300469 ; 28,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 001 ; HARICOTS VERTS ;  ; 52 ; 55 ;  ;  ;  ;  ;  ;  ;  ;  ; 1007,000 ;  ; 1577,95 ; 2062,44 ; 376,9694 ; 0,1939768 ; 3633,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 001 ; HARICOTS VERTS ; 001 ; 0000001806617 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 8,000 ;  ; 7,44 ; 9,2 ; 1,280379 ; 0,1319163 ; 18,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 001 ; HARICOTS VERTS ; 001 ; 0000001806617 ; 3069538102560 ; 4/4 HARICOTS VERTS ; 4/4 HARICOTS VERTS FINS N ; NO NAME ; CONSERVES FRANCE ; 0,93 ; 1,15 ; 1,09 ; 0,055 ; 8,000 ; UVC ; 7,44 ; 9,2 ; 1,280379 ; 0,1319163 ; 18,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 001 ; HARICOTS VERTS ; 002 ; 0000001020473 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 12,000 ;  ; 15,48 ; 13,08 ; -3,081896 ; -0,2233355 ; 43,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 001 ; HARICOTS VERTS ; 002 ; 0000001020473 ; 3017800016862 ; HARICOT VERT DAUCY ; D AUCY H.VERT EF 1/2 ; D'AUCY ; D AUCY FRANCE ; 1,29 ; 1,09 ; 1,03 ; 0,055 ; 12,000 ; UVC ; 15,48 ; 13,08 ; -3,081896 ; -0,2233355 ; 43,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 001 ; HARICOTS VERTS ; 002 ; 0000001020492 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 6,000 ;  ; 7,68 ; 8,1 ; -0,002274882 ; -0,0002662081 ; 23,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 001 ; HARICOTS VERTS ; 002 ; 0000001020492 ; 3083681127737 ; 1/2 HV EF BONDUELL ; 1/2 HV XF RANGES BONDUELL ; BONDUELLE ; BONDUELLE EUROPE ; 1,28 ; 1,35 ; 1,28 ; 0,055 ; 6,000 ; UVC ; 7,68 ; 8,1 ; -0,002274882 ; -0,0002662081 ; 23,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 001 ; HARICOTS VERTS ; 002 ; 0000003782163 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 2,000 ;  ; 3,12 ; 4,18 ; 0,8420853 ; 0,1909534 ; 18,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 001 ; HARICOTS VERTS ; 002 ; 0000003782163 ; 3083681127829 ; 1/2 HARICOTS VERTS ; 1/2 HARICOTS VERTS XF SRP ; BONDUELLE ; BONDUELLE EUROPE ; 1,56 ; 2,09 ; 1,98 ; 0,055 ; 2,000 ; UVC ; 3,12 ; 4,18 ; 0,8420853 ; 0,1909534 ; 18,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 001 ; HARICOTS VERTS ; 002 ; 0000003782169 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ; 9,000 ;  ; 12,42 ; 17,01 ; 3,703223 ; 0,2063588 ; 39,000 ;  ;  
 01 ; PGC ; 14 ; EPICERIE ; 146 ; CONSERVES ET PLATS CUISINES ; 1460 ; CONSERVES LEG.VERTS ; 001 ; HARICOTS VERTS ; 002 ; 0000003782169 ; 3083681131864 ; 1/2 HAR.VERTS XF V ; 1/2 HAR.VERTS XF VAPEUR B ; BONDUELLE ; BONDUELLE EUROPE ; 1,38 ; 1,89 ; 1,79 ; 0,055 ; 9,000 ; UVC ; 12,42 ; 17,01 ; 3,703223 ; 0,2063588 ; 39,000 ;  ;  
